path,true,clean,adv
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0108.off | true: 0 | clean: 0 | adv: 7
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0116.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0120.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0126.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0127.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0129.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0132.off | true: 0 | clean: 0 | adv: 0
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0137.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0140.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0144.off | true: 0 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bed/test/bed_0519.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0520.off | true: 1 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0523.off | true: 1 | clean: 1 | adv: 0
victim_models/dataset/ModelNet10/bed/test/bed_0526.off | true: 1 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0529.off | true: 1 | clean: 1 | adv: 0
victim_models/dataset/ModelNet10/bed/test/bed_0533.off | true: 1 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0541.off | true: 1 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0543.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0545.off | true: 1 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0547.off | true: 1 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/chair/test/chair_0907.off | true: 2 | clean: 2 | adv: 9
victim_models/dataset/ModelNet10/chair/test/chair_0908.off | true: 2 | clean: 2 | adv: 3
victim_models/dataset/ModelNet10/chair/test/chair_0913.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/chair/test/chair_0925.off | true: 2 | clean: 2 | adv: 6
victim_models/dataset/ModelNet10/chair/test/chair_0939.off | true: 2 | clean: 2 | adv: 6
victim_models/dataset/ModelNet10/chair/test/chair_0942.off | true: 2 | clean: 2 | adv: 1
victim_models/dataset/ModelNet10/chair/test/chair_0948.off | true: 2 | clean: 2 | adv: 6
victim_models/dataset/ModelNet10/chair/test/chair_0950.off | true: 2 | clean: 2 | adv: 1
victim_models/dataset/ModelNet10/chair/test/chair_0951.off | true: 2 | clean: 2 | adv: 6
victim_models/dataset/ModelNet10/chair/test/chair_0958.off | true: 2 | clean: 2 | adv: 1
victim_models/dataset/ModelNet10/desk/test/desk_0202.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0203.off | true: 3 | clean: 3 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0205.off | true: 3 | clean: 3 | adv: 1
victim_models/dataset/ModelNet10/desk/test/desk_0206.off | true: 3 | clean: 3 | adv: 7
victim_models/dataset/ModelNet10/desk/test/desk_0207.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0208.off | true: 3 | clean: 3 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0212.off | true: 3 | clean: 3 | adv: 4
victim_models/dataset/ModelNet10/desk/test/desk_0214.off | true: 3 | clean: 3 | adv: 1
victim_models/dataset/ModelNet10/desk/test/desk_0215.off | true: 3 | clean: 3 | adv: 7
victim_models/dataset/ModelNet10/desk/test/desk_0217.off | true: 3 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/dresser/test/dresser_0201.off | true: 4 | clean: 4 | adv: 4
victim_models/dataset/ModelNet10/dresser/test/dresser_0203.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0205.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0206.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0209.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0210.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0211.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0215.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0220.off | true: 4 | clean: 4 | adv: 5
victim_models/dataset/ModelNet10/dresser/test/dresser_0221.off | true: 4 | clean: 4 | adv: 6
victim_models/dataset/ModelNet10/monitor/test/monitor_0466.off | true: 5 | clean: 4 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0468.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0475.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0478.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0480.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0482.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0485.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0486.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0491.off | true: 5 | clean: 5 | adv: 4
victim_models/dataset/ModelNet10/monitor/test/monitor_0492.off | true: 5 | clean: 5 | adv: 4
