path,true,clean,adv
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0107.off | true: 0 | clean: 0 | adv: 9
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0113.off | true: 0 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0120.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0126.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0129.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0132.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0137.off | true: 0 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0140.off | true: 0 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0144.off | true: 0 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0148.off | true: 0 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0154.off | true: 0 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0519.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0523.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0526.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0533.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0538.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0541.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0545.off | true: 1 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bed/test/bed_0550.off | true: 1 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0552.off | true: 1 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0554.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0564.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0576.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0581.off | true: 1 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bed/test/bed_0587.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0590.off | true: 1 | clean: 1 | adv: 2
