path,true,clean,adv,lowpass
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0108.off | true: 0 | clean: 8 | adv: 0 | lowpass: 44
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0116.off | true: 0 | clean: 8 | adv: 0 | lowpass: 41
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0123.off | true: 0 | clean: 0 | adv: 7 | lowpass: 156
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0127.off | true: 0 | clean: 0 | adv: 8 | lowpass: 95
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0131.off | true: 0 | clean: 0 | adv: 7 | lowpass: 171
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0134.off | true: 0 | clean: 0 | adv: 8 | lowpass: 150
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0139.off | true: 0 | clean: 0 | adv: 7 | lowpass: 211
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0143.off | true: 0 | clean: 0 | adv: 9 | lowpass: 130
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0147.off | true: 0 | clean: 1 | adv: 0 | lowpass: 192
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0152.off | true: 0 | clean: 8 | adv: 1 | lowpass: 106
victim_models/dataset/ModelNet10/bed/test/bed_0520.off | true: 1 | clean: 1 | adv: 7 | lowpass: 52
victim_models/dataset/ModelNet10/bed/test/bed_0525.off | true: 1 | clean: 3 | adv: 1 | lowpass: 251
victim_models/dataset/ModelNet10/bed/test/bed_0529.off | true: 1 | clean: 0 | adv: 7 | lowpass: 96
victim_models/dataset/ModelNet10/bed/test/bed_0535.off | true: 1 | clean: 1 | adv: 7 | lowpass: 214
victim_models/dataset/ModelNet10/bed/test/bed_0540.off | true: 1 | clean: 1 | adv: 7 | lowpass: 203
victim_models/dataset/ModelNet10/bed/test/bed_0543.off | true: 1 | clean: 1 | adv: 2 | lowpass: 76
victim_models/dataset/ModelNet10/bed/test/bed_0547.off | true: 1 | clean: 1 | adv: 2 | lowpass: 71
victim_models/dataset/ModelNet10/bed/test/bed_0551.off | true: 1 | clean: 7 | adv: 3 | lowpass: 117
victim_models/dataset/ModelNet10/bed/test/bed_0553.off | true: 1 | clean: 1 | adv: 8 | lowpass: 54
victim_models/dataset/ModelNet10/bed/test/bed_0563.off | true: 1 | clean: 1 | adv: 7 | lowpass: 253
victim_models/dataset/ModelNet10/bed/test/bed_0572.off | true: 1 | clean: 1 | adv: 8 | lowpass: 35
victim_models/dataset/ModelNet10/bed/test/bed_0580.off | true: 1 | clean: 1 | adv: 7 | lowpass: 248
victim_models/dataset/ModelNet10/bed/test/bed_0582.off | true: 1 | clean: 1 | adv: 8 | lowpass: 86
victim_models/dataset/ModelNet10/bed/test/bed_0588.off | true: 1 | clean: 1 | adv: 7 | lowpass: 152
victim_models/dataset/ModelNet10/bed/test/bed_0593.off | true: 1 | clean: 1 | adv: 2 | lowpass: 235
victim_models/dataset/ModelNet10/bed/test/bed_0597.off | true: 1 | clean: 1 | adv: 2 | lowpass: 37
