path,true,clean,adv
victim_models/dataset/ModelNet10_attacked_lowpass50/bathtub/test/bathtub_0107.off | true: 0 | clean: 0 | adv: 0
victim_models/dataset/ModelNet10_attacked_lowpass50/bathtub/test/bathtub_0120.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/bathtub/test/bathtub_0129.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/bathtub/test/bathtub_0137.off | true: 0 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/bathtub/test/bathtub_0144.off | true: 0 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10_attacked_lowpass50/bed/test/bed_0519.off | true: 1 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/bed/test/bed_0526.off | true: 1 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/bed/test/bed_0538.off | true: 1 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/bed/test/bed_0545.off | true: 1 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/bed/test/bed_0552.off | true: 1 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/chair/test/chair_0890.off | true: 2 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/chair/test/chair_0908.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/chair/test/chair_0927.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/chair/test/chair_0948.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/chair/test/chair_0972.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/desk/test/desk_0202.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/desk/test/desk_0207.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/desk/test/desk_0215.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/desk/test/desk_0228.off | true: 3 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/desk/test/desk_0236.off | true: 3 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/dresser/test/dresser_0201.off | true: 4 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/dresser/test/dresser_0208.off | true: 4 | clean: 6 | adv: 6
victim_models/dataset/ModelNet10_attacked_lowpass50/dresser/test/dresser_0213.off | true: 4 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/dresser/test/dresser_0220.off | true: 4 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/dresser/test/dresser_0228.off | true: 4 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/monitor/test/monitor_0466.off | true: 5 | clean: 6 | adv: 6
victim_models/dataset/ModelNet10_attacked_lowpass50/monitor/test/monitor_0477.off | true: 5 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/monitor/test/monitor_0482.off | true: 5 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/monitor/test/monitor_0487.off | true: 5 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/monitor/test/monitor_0496.off | true: 5 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/night_stand/test/night_stand_0202.off | true: 6 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/night_stand/test/night_stand_0212.off | true: 6 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/night_stand/test/night_stand_0219.off | true: 6 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/night_stand/test/night_stand_0223.off | true: 6 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/night_stand/test/night_stand_0230.off | true: 6 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/sofa/test/sofa_0681.off | true: 7 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/sofa/test/sofa_0688.off | true: 7 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10_attacked_lowpass50/sofa/test/sofa_0695.off | true: 7 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10_attacked_lowpass50/sofa/test/sofa_0707.off | true: 7 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10_attacked_lowpass50/sofa/test/sofa_0733.off | true: 7 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/table/test/table_0394.off | true: 8 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10_attacked_lowpass50/table/test/table_0401.off | true: 8 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/table/test/table_0408.off | true: 8 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10_attacked_lowpass50/table/test/table_0413.off | true: 8 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10_attacked_lowpass50/table/test/table_0418.off | true: 8 | clean: 1 | adv: 1
