path,true,clean,adv
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0107.off | true: 0 | clean: 0 | adv: 9
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0113.off | true: 0 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0120.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0126.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0129.off | true: 0 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bed/test/bed_0519.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0523.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0526.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0533.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0538.off | true: 1 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/chair/test/chair_0890.off | true: 2 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/chair/test/chair_0896.off | true: 2 | clean: 2 | adv: 3
victim_models/dataset/ModelNet10/chair/test/chair_0908.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/chair/test/chair_0918.off | true: 2 | clean: 2 | adv: 3
victim_models/dataset/ModelNet10/chair/test/chair_0927.off | true: 2 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0202.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0205.off | true: 3 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0207.off | true: 3 | clean: 3 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0212.off | true: 3 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/desk/test/desk_0215.off | true: 3 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/dresser/test/dresser_0201.off | true: 4 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0205.off | true: 4 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/dresser/test/dresser_0208.off | true: 4 | clean: 6 | adv: 6
victim_models/dataset/ModelNet10/dresser/test/dresser_0210.off | true: 4 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0213.off | true: 4 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0466.off | true: 5 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0472.off | true: 5 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0477.off | true: 5 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0479.off | true: 5 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0482.off | true: 5 | clean: 5 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0202.off | true: 6 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0209.off | true: 6 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0212.off | true: 6 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0216.off | true: 6 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0219.off | true: 6 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0681.off | true: 7 | clean: 8 | adv: 2
victim_models/dataset/ModelNet10/sofa/test/sofa_0686.off | true: 7 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0688.off | true: 7 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/sofa/test/sofa_0692.off | true: 7 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0695.off | true: 7 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/table/test/table_0394.off | true: 8 | clean: 8 | adv: 3
victim_models/dataset/ModelNet10/table/test/table_0397.off | true: 8 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0401.off | true: 8 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0404.off | true: 8 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0408.off | true: 8 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/toilet/test/toilet_0346.off | true: 9 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/toilet/test/toilet_0353.off | true: 9 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/toilet/test/toilet_0358.off | true: 9 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/toilet/test/toilet_0363.off | true: 9 | clean: 5 | adv: 5
victim_models/dataset/ModelNet10/toilet/test/toilet_0383.off | true: 9 | clean: 3 | adv: 3
