path,true,clean,adv,lowpass
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0108.off | true: 0 | threshold: 44 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0116.off | true: 0 | threshold: 41 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0123.off | true: 0 | threshold: 156 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0127.off | true: 0 | threshold: 95 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0131.off | true: 0 | threshold: 171 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0134.off | true: 0 | threshold: 150 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0139.off | true: 0 | threshold: 211 | clean: 0 | adv: 1
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0143.off | true: 0 | threshold: 130 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0147.off | true: 0 | threshold: 192 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0152.off | true: 0 | threshold: 106 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bed/test/bed_0520.off | true: 1 | threshold: 52 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0525.off | true: 1 | threshold: 251 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0529.off | true: 1 | threshold: 96 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0535.off | true: 1 | threshold: 214 | clean: 1 | adv: 9
victim_models/dataset/ModelNet10/bed/test/bed_0540.off | true: 1 | threshold: 203 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/bed/test/bed_0543.off | true: 1 | threshold: 76 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0547.off | true: 1 | threshold: 71 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0551.off | true: 1 | threshold: 117 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0553.off | true: 1 | threshold: 54 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0563.off | true: 1 | threshold: 253 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0572.off | true: 1 | threshold: 35 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0580.off | true: 1 | threshold: 248 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0582.off | true: 1 | threshold: 86 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0588.off | true: 1 | threshold: 152 | clean: 1 | adv: 7
victim_models/dataset/ModelNet10/bed/test/bed_0593.off | true: 1 | threshold: 235 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0597.off | true: 1 | threshold: 37 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0603.off | true: 1 | threshold: 72 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0605.off | true: 1 | threshold: 22 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0608.off | true: 1 | threshold: 56 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/bed/test/bed_0613.off | true: 1 | threshold: 47 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/chair/test/chair_0895.off | true: 2 | threshold: 226 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/chair/test/chair_0897.off | true: 2 | threshold: 94 | clean: 2 | adv: 3
victim_models/dataset/ModelNet10/chair/test/chair_0913.off | true: 2 | threshold: 108 | clean: 2 | adv: 5
victim_models/dataset/ModelNet10/chair/test/chair_0925.off | true: 2 | threshold: 21 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/chair/test/chair_0939.off | true: 2 | threshold: 82 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/chair/test/chair_0946.off | true: 2 | threshold: 171 | clean: 2 | adv: 8
victim_models/dataset/ModelNet10/chair/test/chair_0950.off | true: 2 | threshold: 32 | clean: 2 | adv: 8
victim_models/dataset/ModelNet10/chair/test/chair_0958.off | true: 2 | threshold: 78 | clean: 2 | adv: 6
victim_models/dataset/ModelNet10/chair/test/chair_0974.off | true: 2 | threshold: 211 | clean: 2 | adv: 3
victim_models/dataset/ModelNet10/chair/test/chair_0977.off | true: 2 | threshold: 29 | clean: 2 | adv: 8
victim_models/dataset/ModelNet10/chair/test/chair_0984.off | true: 2 | threshold: 179 | clean: 2 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0203.off | true: 3 | threshold: 66 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0206.off | true: 3 | threshold: 114 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0208.off | true: 3 | threshold: 25 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0214.off | true: 3 | threshold: 41 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0217.off | true: 3 | threshold: 55 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0221.off | true: 3 | threshold: 176 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0229.off | true: 3 | threshold: 38 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0233.off | true: 3 | threshold: 183 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0237.off | true: 3 | threshold: 50 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0239.off | true: 3 | threshold: 217 | clean: 3 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0241.off | true: 3 | threshold: 149 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0246.off | true: 3 | threshold: 23 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/desk/test/desk_0249.off | true: 3 | threshold: 247 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0253.off | true: 3 | threshold: 176 | clean: 3 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0257.off | true: 3 | threshold: 109 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0262.off | true: 3 | threshold: 121 | clean: 5 | adv: 5
victim_models/dataset/ModelNet10/desk/test/desk_0265.off | true: 3 | threshold: 73 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/desk/test/desk_0268.off | true: 3 | threshold: 192 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/desk/test/desk_0274.off | true: 3 | threshold: 74 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0276.off | true: 3 | threshold: 200 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/desk/test/desk_0280.off | true: 3 | threshold: 81 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/desk/test/desk_0284.off | true: 3 | threshold: 173 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0203.off | true: 4 | threshold: 41 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0206.off | true: 4 | threshold: 50 | clean: 5 | adv: 5
victim_models/dataset/ModelNet10/dresser/test/dresser_0209.off | true: 4 | threshold: 98 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0211.off | true: 4 | threshold: 68 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0215.off | true: 4 | threshold: 137 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0219.off | true: 4 | threshold: 211 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0221.off | true: 4 | threshold: 42 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0227.off | true: 4 | threshold: 108 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/dresser/test/dresser_0231.off | true: 4 | threshold: 59 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0238.off | true: 4 | threshold: 179 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0241.off | true: 4 | threshold: 143 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/dresser/test/dresser_0246.off | true: 4 | threshold: 63 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/dresser/test/dresser_0248.off | true: 4 | threshold: 99 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0253.off | true: 4 | threshold: 86 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/dresser/test/dresser_0255.off | true: 4 | threshold: 18 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0260.off | true: 4 | threshold: 181 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0263.off | true: 4 | threshold: 60 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0266.off | true: 4 | threshold: 48 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/dresser/test/dresser_0269.off | true: 4 | threshold: 193 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0273.off | true: 4 | threshold: 85 | clean: 5 | adv: 5
victim_models/dataset/ModelNet10/dresser/test/dresser_0280.off | true: 4 | threshold: 179 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0282.off | true: 4 | threshold: 126 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/dresser/test/dresser_0284.off | true: 4 | threshold: 140 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0468.off | true: 5 | threshold: 30 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0475.off | true: 5 | threshold: 71 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0478.off | true: 5 | threshold: 87 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0480.off | true: 5 | threshold: 90 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0483.off | true: 5 | threshold: 190 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0486.off | true: 5 | threshold: 72 | clean: 5 | adv: 3
victim_models/dataset/ModelNet10/monitor/test/monitor_0491.off | true: 5 | threshold: 78 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0495.off | true: 5 | threshold: 252 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0498.off | true: 5 | threshold: 123 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0505.off | true: 5 | threshold: 182 | clean: 2 | adv: 2
